date,entity_id,product_id,category,region,store_type,target,price,promotion,holiday,inventory
2024-01-01,STORE_001,PROD_001,Beverages,North,Supermarket,18,2.49,0,1,38
2024-01-01,STORE_001,PROD_002,Snacks,North,Supermarket,28,4.27,1,1,55
2024-01-01,STORE_001,PROD_003,Pantry,North,Supermarket,19,6.9,0,1,58
2024-01-01,STORE_001,PROD_004,Personal Care,North,Supermarket,26,9.3,0,1,60
2024-01-01,STORE_001,PROD_005,Beverages,North,Supermarket,27,11.37,0,1,76
2024-01-01,STORE_001,PROD_006,Snacks,North,Supermarket,16,13.82,0,1,38
2024-01-01,STORE_001,PROD_007,Pantry,North,Supermarket,18,16.3,0,1,55
2024-01-01,STORE_001,PROD_008,Personal Care,North,Supermarket,22,18.23,0,1,63
2024-01-01,STORE_001,PROD_009,Beverages,North,Supermarket,29,20.65,0,1,60
2024-01-01,STORE_001,PROD_010,Snacks,North,Supermarket,27,22.63,0,1,78
2024-01-01,STORE_001,PROD_011,Pantry,North,Supermarket,15,24.63,0,1,43
2024-01-01,STORE_001,PROD_012,Personal Care,North,Supermarket,20,27.18,0,1,46
2024-01-01,STORE_001,PROD_013,Beverages,North,Supermarket,21,29.86,0,1,65
2024-01-01,STORE_001,PROD_014,Snacks,North,Supermarket,25,31.29,0,1,58
2024-01-01,STORE_001,PROD_015,Pantry,North,Supermarket,41,30.24,1,1,68
2024-01-01,STORE_001,PROD_016,Personal Care,North,Supermarket,15,36.19,0,1,51
2024-01-01,STORE_001,PROD_017,Beverages,North,Supermarket,17,37.91,0,1,55
2024-01-01,STORE_001,PROD_018,Snacks,North,Supermarket,21,41.18,0,1,57
2024-01-01,STORE_001,PROD_019,Pantry,North,Supermarket,25,43.1,0,1,65
2024-01-01,STORE_001,PROD_020,Personal Care,North,Supermarket,25,44.73,0,1,59
2024-01-01,STORE_002,PROD_001,Beverages,South,Express,16,2.47,0,1,56
2024-01-01,STORE_002,PROD_002,Snacks,South,Express,19,4.78,0,1,50
2024-01-01,STORE_002,PROD_003,Pantry,South,Express,22,7.05,0,1,59
2024-01-01,STORE_002,PROD_004,Personal Care,South,Express,24,9.07,0,1,73
2024-01-01,STORE_002,PROD_005,Beverages,South,Express,26,11.48,0,1,81
